Phylum	Class	Genus	Species	Subspecies	English name	GB	FRANCE	BELGIUM	NETHERLANDS	RINSE GB	RINSE FRANCE	RINSE BELGIUM	RINSE NETHERLANDS	Environment
Angiospermae	Eudicotyledoneae	Lonicera	nitida		Wilson's Honeysuckle	Y		Y				Y		T
Marchantiophyta	Jungermanniopsida	Lophocolea	semiteres			Y		Y	Y	Y		Y	Y	T
Chordata	Aves	Lophodytes	cucullatus		Hooded Merganser	Y, nat		Y, nat		Y, nat		Y, nat		F+T+M
Arthropoda	Insecta	Lopholeucaspis	cockerelli			Y				?				T
Chordata	Aves	Lophonetta	specularoides		Crested Duck	Y				Y				F+T+M
Bryozoa	Phylactolaemata	Lophopus 	crystallinus			Y			Y	Y			?	F
Chordata	Aves	Lophura	nycthemera		 Silver Pheasant	Y		Y	Y	Y		Y	Y	T
Chordata	Aves	Lophura	swinhoii		 Swinhoe's Pheasant	Y			Y	Y			Y	T
Entoprocta	not assigned	Loxosomella	antedonis			Y				?				M
Entoprocta	not assigned	Loxosomella	kefersteinii			Y				?				M
Arthropoda	Insecta	Lozotaenia	cedrivora  				Y				?			T
Arthropoda	Insecta	Lucasianus	levaillantii  				Y							T
Angiospermae	Magnoliopsida	Ludwigia	peploides		Floating Water-primrose	Y	Y	Y	Y	?	N	?		F
Arthropoda	Insecta	Luperomorpha	xanthodera		 Rose Flea Beetle	Y	Y		Y					T
Angiospermae	Eudicotyledoneae	Lupinus	polyphyllus		Garden Lupin	Y	Y	Y	Y		Y	Y	Y	T
Angiospermae	Eudicotyledoneae	Lycium	barbarum		Duke of Argyll's Teaplant	Y	Y	Y	Y		Y	Y	Y	T
Arthropoda	Insecta	Lyctocoris	campestris		 Debris Bug	Y	Y	Y	Y	Y	N	N	N	T
Arthropoda	Insecta	Lyctus	africanus  				Y				?			T
Arthropoda	Insecta	Lyctus	brunneus			Y	Y		Y	Y			N	T
Arthropoda	Insecta	Lyctus	cavicollis  				Y				?			T
Arthropoda	Insecta	Lyctus	planicollis  				Y				?			T
Arthropoda	Insecta	Lyctus	sinensis		 Chinese powderpost beetle	Y				Y				T
Arthropoda	Insecta	Lymantria	dispar		 Gypsy Moth	Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Lyphia	tetraphylla  				Y				?			T
Angiospermae	Monocotyledoneae	Lysichiton	americanus		American Skunk-cabbage	Y	Y	Y	Y			N	Y	T
Angiospermae	Monocotyledoneae	Lysichiton	camtschatcensis		Asian Skunk-Cabbage	Y								T
Arthropoda	Arachnida	Macaroeris	nidicolens				Y	Y	Y		N	Y	Y	T
Arthropoda	Insecta	Macrolabis	aquilegiae		 A Gall Midge	Y			N	Y			N	T
Arthropoda	Insecta	Macrolophus	melanotoma			Y		Y	Y	?		?	?	T
Arthropoda	Malacostraca	Macromedaeus	voeltzkowi				Y				N			F
Ascomycota	Dothideomycetes	Macrophomina	phaseolina   			Y	Y							T
Chordata	Mammalia	Macropus	rufogriseus		Red-necked Wallaby	Y	Y		Y	Y	Y		N	T
Arthropoda	Insecta	Macrorhyncolus	littoralis			Y								T
Arthropoda	Insecta	Macrosiphoniella	aphidoidea			Y	Y			?	?			T
Arthropoda	Insecta	Macrosiphoniella	sanborni			Y	Y	Y		?	?	?		T
Arthropoda	Insecta	Macrosiphum	albifrons		 Lupin Aphid	Y	Y	Y		Y	?	?		T
Arthropoda	Insecta	Macrosiphum	aphidoidea			Y				?				T
Arthropoda	Insecta	Macrosiphum	euphorbiae		potato aphid	Y	Y	Y	Y	Y	?	?	Y	T
Arthropoda	Insecta	Macrosiphum	ptericolens  			Y				?				T
Arthropoda	Insecta	Macrotylus	horvathi			Y	Y			?	N			T
Cnidaria	Hydrozoa	Maeotias	marginata				Y		Y		?		Y	M
Arthropoda	Insecta	Magdalis	memnonia			Y		Y	Y	Y		N	N	T
Angiospermae	Magnoliopsida	Mahonia	aquifolium		Oregon-grape	Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Manduca	quinquemaculatus		 Five-Spotted Hawk-Moth	Y	N			N				T
Arthropoda	Insecta	Marava	arachidis  			Y	Y		Y	Y	?		?	T
Annelida	Polychaeta	Marenzelleria	viridis		Red-gilled mud worm	Y	Y	Y	Y	Y	Y	Y	Y	M
Annelida	Polychaeta	Marenzelleria	wireni			Y	Y	Y	Y	Y	Y	Y		M+F
Chordata	Aves	Marmaronetta	angustirostris		Marbled Duck	Y	Y	Y		Y	?	?		F+T+M
Mollusca	Gastropoda	Marmorana	serpentina				Y				N			T
Mollusca	Gastropoda	Marstoniopsis	insubrica		Taylor's Spire Snail	Y			Y	Y			Y	F
Cercozoa	Ascetosporea	Marteilia	refringens			Y	Y		Y, Ex					M
Arthropoda	Insecta	Maruca	vitrata		 Mung Moth	Y				N				T
Arthropoda	Insecta	Massilieurodes	chittendeni			Y	Y	Y	Y	?	?	?	?	T
Angiospermae	Eudicotyledoneae	Matricaria	discoidea		Pineapple Weed	Y	Y	Y	Y		Y	Y	Y	T
Arthropoda	Insecta	Matsucoccus	feytaudi  				Y		Y				?	T
Pteridophyta	Pteridopsida	Matteuccia	struthiopteris		 Ostrich Fern	Y	Y	Y	Y	Y	Y	Y	Y	T
Chordata	Reptilia	Mauremys	leprosa				Y		N		N			T
Chordata	Actinopterygii	Maylandia			Zebrafish species	Y, Ex		N		N		N		F
Arthropoda	Diplopoda	Mecistocephalus 	maxillaris				Y		Y					T
Arthropoda	Insecta	Meconema 	meridionale						Y					T
Arthropoda	Insecta	Medetera	grisescens		 A Dolichopodid Fly [ 	Y				Y				T
Arthropoda	Maxillopoda	Megabalanus	coccoporna				Y	Y	Y		Y	Y	Y	M
Arthropoda	Maxillopoda	Megabalanus	tintinnabulum				Y	Y	Y		Y	Y	Y	M
Arthropoda	Insecta	Megadytes	costalis  			Y				?				T
Arthropoda	Arachnida	Megalepthyphantes	collinus			Y	Y			Y				T
Arthropoda	Arachnida	Megalepthyphantes	nebulosus			Y			Y	Y			N	T
Arthropoda	Insecta	Megaselia	dimorphica		 A Scuttle Fly	Y			N				N	T
Arthropoda	Insecta	Megaselia	gregaria		 A Scuttle Fly	Y			Y	Y			?	T
Arthropoda	Insecta	Megaselia	scalaris		 A Scuttle Fly	Y	Y	Y	Y	?	?	?	?	T
Arthropoda	Insecta	Megastigmus	aculeatus				Y				?			T
Arthropoda	Insecta	Megastigmus	atedius  			Y	Y			?	?			T
Arthropoda	Insecta	Megastigmus	milleri			Y	Y		Y					T
Arthropoda	Insecta	Megastigmus	nigrovariegatus  				Y				?			T
Arthropoda	Insecta	Megastigmus	pictus  			Y				?				T
Arthropoda	Insecta	Megastigmus	pinsapinis  				Y				?			T
Arthropoda	Insecta	Megastigmus	schimitscheki  				Y				?			T
Arthropoda	Insecta	Megastigmus	suspectus  			Y				?				T
Arthropoda	Insecta	Megastigmus	transvaalensis  				Y				?			T
Arthropoda	Insecta	Megastigmus	wachtli  				Y				?			T
Arthropoda	Insecta	Megastigmus 	pinus			Y	Y		Y					T
Arthropoda	Insecta	Megastigmus 	rafni			Y	Y		Y					T
Arthropoda	Insecta	Megastigmus 	specularis				Y		Y					T
Arthropoda	Insecta	Megastigmus 	spermotrophus			Y	Y		Y					T
Ascomycota	Urediniomycetes	Melampsora	medusae   				Y	Y						T
Ascomycota	Pucciniomycetes	Melampsoridium	hiratsukanum   			Y		Y	Y	N		N	N	T
Arthropoda	Insecta	Melanaphis	bambusae 				Y				?			T
Mollusca	Gastropoda	Melanoides	tuberculatus			Y			Y	Y			Y	F
Arthropoda	Insecta	Melanophila	acuminata  			Y				Y				T
Arthropoda	Insecta	Melaphis	rhois			Y				?				T
Chordata	Aves	Meleagris	gallopavo		Wild Turkey	Y		Y	Y	Y		Y	Y	T
Arthropoda	Insecta	Meligethes	incanus		 Catmint pollen beetle	Y		Y		Y		N		T
Arthropoda	Insecta	Meligethes	ruficornis		 Horehound pollen beetle	Y		Y	Y	Y		Y	Y	T
Arthropoda	Malacostraca	Melita	nitida				Y	Y	Y		Y	Y	Y	M
Nematoda	Secernentea	Meloidogyne	arenaria			Y	Y	Y	Y	Y	?	?	Y	T
Nematoda	Secernentea	Meloidogyne	chitwoodi			N	Y	Y	Y	N	?	?	?	T
Nematoda	Secernentea	Meloidogyne	fallax				Y	Y	Y					T
Nematoda	Secernentea	Meloidogyne	hapla			Y	Y	Y	Y	?	?	?	?	T
Chordata	Aves	Melopsittacus	undulatus		 Budgerigar	Y	Y	Y	Y	Y		Y	Y	T
Chordata	Aves	Melospiza	melodia		 Song Sparrow	Y		Y	Y	Y		Y	Y	T
Bryozoa	Gymnolaemata	Membranipora 	membranacea			Y	Y	Y	Y	Y	Y	Y	Y	M
Mollusca	Gastropoda	Menetus	dilatatus		Trumpet Ramshorn	Y	Y	Y	Y	Y	Y	Y	Y	F
Chordata	Mammalia	Mephitis	mephitis		Striped Skunk	Y, Ex		Y	Y	N		Y	Y	T
Mollusca	Bivalvia	Mercenaria	mercenaria		American hard-shelled clam	Y	Y	Y	Y	Y	Y	Y	Y	M
Chordata	Mammalia	Meriones	unguiculatus		Mongolian Gerbil	Y, Ex		Y		Y, Ex		Y		T
Arthropoda	Insecta	Merodon	equestris		 Greater Bulb-Fly	Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Merodon 	avidus				Y		Y		N		?	T
Chordata	Aves	Merops	bullockoides		 White-fronted Bee-eater	Y			Y	Y			Y	T
Chordata	Aves	Merops	philippinus		 Blue-tailed Bee-eater	Y								T
Arthropoda	Insecta	Merothrips	floridensis  				Y				?			T
Arthropoda	Collembola	Mesaphorura 	krausbaueri			Y			Y	Y				T
Chordata	Mammalia	Mesocricetus	auratus		Golden Hamster	Er			Y	Er			Y	T
Arthropoda	Insecta	Mesopolobus	pinus			Y	Y		Y					T
Arthropoda	Insecta	Mesopolobus 	spermotrophus			Y	Y		Y					T
Chordata	Amphibia	Mesotriton	alpestris		Alpine Newt	Y	Y	Y	Y	Y	N	Y	Y	F+T
Arthropoda	Insecta	Metaphycus	flavus  				Y				?			T
Arthropoda	Insecta	Metaphycus	helvolus				Y		Y		?		?	T
Arthropoda	Insecta	Metaphycus	lounsburyi				Y		Y		?		?	T
Arthropoda	Insecta	Metaphycus	maculipennis  				Y				?			T
Arthropoda	Insecta	Metaphycus	swirskii				Y		Y		?		?	T
Arthropoda	Diplopoda	Metatrichoniscoides	leydigii			Y			Y	N			Y	T
Annelida	Polychaeta	Metavermilia	multicristata				Y	Y		N	Y	Y		M
Arthropoda	Insecta	Metcalfa	pruinosa 				Y				?			T
Arthropoda	Insecta	Metophthalmus	serripennis  			Y				Y				T
Arthropoda	Insecta	Microgaster	pantographae  			Y				?				T
Arthropoda	Insecta	Microlestes	minutulus			Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Arachnida	Micropholcus	fauroti					Y				Y		T
Annelida	Polychaeta	Microphthalmus	similis			Y	Y	Y	Y	Y	Y	Y	Y	M
Chordata	Actinopterygii	Micropogonias 	undulatus		Atlantic croaker	N	Y	Y	Y	N	Y	Y	Y	M+F
Chordata	Actinopterygii	Micropterus	dolomieui		Smallmouth Bass	Y, Ex	Y	Y, Ex	Y	N	Y	Y, Ex	Y	F
Chordata	Actinopterygii	Micropterus	salmoides		Largemouth Bass	Y, Ex	Y	Y, Ex	Y	N	Y	Y, Ex	Y	F
Arthropoda	Insecta	Micropygus	vagans		 A Dolichopodid Fly [ 	Y			N	?				T
Mollusca	Gastropoda	Milax	gagates		 Smooth Jet Slug	Y	Y, nat	Y	Y	Y	Y, nat	Y	Y	T
Mollusca	Gastropoda	Milax	nigricans		Rough Jet Slug	Y	Y		Y	Y	Y		Y	T
Chordata	Aves	Milvus	migrans		 Black Kite	Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Mimosestes	mimose				Y				?			T
Angiospermae	Eudicotyledoneae	Mimulus	guttatus		Monkeyflower	Y	Y	Y	Y		Y	Y	Y	T
Chordata	Aves	Mimus	polyglottos		 Northern Mockingbird	Y								T
Arthropoda	Insecta	Mindarus	abietinus		 Balsam Twig Aphid	Y	Y			?	N			T
Arthropoda	Insecta	Mindarus	obliquus		 Spruce Twig Aphid	Y				?				T
Chordata	Actinopterygii	Misgurnus	fossilis		European Weatherfish (Pond Loach)	Y	Y	Y, nat	Y	N	Y	Y, nat	Y	F
Chordata	Ascidiacea	Molgula	manhattensis		Sea grape (USA)	Y	Y	Y	Y	Y	Y	Y	Y	M
Mollusca	Gastropoda	Monacha	parumcincta				Y				Y			T
Arthropoda	Insecta	Monarthropalpus	flavus		 Boxwood leaf-miner	Y			Y	N			?	T
Arthropoda	Insecta	Monelliopsis	caryae				Y				?			T
Platyhelminthes	Cestoda	Monobothrium	wageneri		tape worm	Y				Y				M
Arthropoda	Insecta	Monochamus	galloprovincialis  					Y	Y			Y	N	T
Arthropoda	Insecta	Monochamus	sartor		 Sawyer beetle	Y	Y	Y	Y	N	N	Y		T
Arthropoda	Insecta	Monochamus	sutor					Y				?		T
Arthropoda	Malacostraca	Monocorophium	acherusicum		Slender-tube amphipod	Y	Y	Y	Y	Y	Y	Y	Y	M
Arthropoda	Malacostraca	Monocorophium	sextonae			Y	Y	Y	Y	Y	Y	Y	Y	M+F
Arthropoda	Insecta	Monomorium	pharaonis		 Pharo's ant	Y	Y	Y	Y	Y	?	Y	?	T
Arthropoda	Insecta	Monomorium	salomonis			Y	Y			?	?			T
Arthropoda	Insecta	Monomorium 	floricola						Y					T
Annelida	Clitellata	Monopylephorus	limosus					Y				Y		F
Chlorophyta	Ulvophyceae	Monostroma	obscurum			Y	Y			N	N			M
Chordata	Aves	Monticola	solitarius		 Blue Rock Thrush	Y	Y		Y				Y	T
Chordata	Aves	Montifringilla	nivalis		 Snow Finch	Y	Y							T
Arthropoda	Insecta	Moranila	californica  				Y				?			T
Arthropoda	Insecta	Mordellistena	cattleyana						Y				?	T
Arthropoda	Insecta	Moritziella	corticalis		 Oak Bark Phylloxera	Y			Y	?			?	T
Ascomycota	Ascomycetes	Seiridium	cardinale		Cypress canker	Y	Y							T
Arthropoda	Insecta	Murmidius	ovalis  			Y	Y			Y	?			T
Chordata	Mammalia	Mus	musculus		House Mouse	Y	Y	Y	Y	Y	Y	Y	Y	T
Chordata	Aves	Muscicapa	dauurica		 Asian Brown Flycatcher	Y								T
Chordata	Aves	Muscicapa	thalassina		 Indian Verditer Flycatcher	Y								T
Mollusca	Bivalvia	Musculium	transversum		Oblong Orb Mussel	Y	Y		Y	Y	Y		Y	F
Arthropoda	Insecta	Spodoptera	littoralis		 African Cotton Leafworm	Y, Er	Y	N	Y, Er	N	N	N	N	T
Chordata	Mammalia	Mustela	lutreola		European mink		Y				Y			F+T
Heterokontophyta 	Phaeophyceae 	Undaria	pinnatifida		Japanese kelp	Y	Y	Y	Y	Y	Y	Y	Y	M
Mollusca	Bivalvia	Mya	arenaria		Sand-gaper	Y	Y	Y	Y	Y	Y	Y	Y	M
Porifera	Demospongiae 	Mycale	micracanthoxea					Y	Y			Y	Y	M
Ascomycota	Dothideomycetes	Mycosphaerella	dearnessii   				Y							T
Arthropoda	Maxillopoda	Myicola	ostreae				Y		Y		N		Y	M
Arthropoda	Insecta	Vespa	velutina		 Asian Hornet	N	Y	N	N	N	?	N	N	T
Chordata	Mammalia	Myocastor	coypus		Coypu	Er	Y	Y	Y	N	Y	Er	Y	F+T
Heterokontophyta 	Phaeophyceae 	Myriactula				Y			Y	Y				M
Bryozoa	Gymnolaemata	Watersipora	subtorquata			Y	Y	Y		Y	Y	Y		M
Angiospermae	Eudicotyledoneae	Myriophyllum	verrucosum		Red Watermilfoil	Y				Y				F
Arthropoda	Insecta	Myrmecocephalus	concinnus			Y		Y	Y	Y		N		T
Arthropoda	Insecta	Myrmecopora	brevipes			Y				Y				T
Arthropoda	Insecta	Myrrha	octodecimguttata		18-Spot Ladybird [ 	Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Myrsidea	quadrifasciata				Y				?			T
Arthropoda	Maxillopoda	Mytilicola	intestinalis		parasitic copepod	Y	Y	Y	Y	N	Y	Y	Y	M
Arthropoda	Maxillopoda	Mytilicola	orientalis		parasitic copepod	Y	Y		Y	N	Y		Y	M
Mollusca	Bivalvia	Mytilopsis	leucophaeta		False dark mussel	Y	Y	Y	Y	Y	Y	Y	Y	M+F
Arthropoda	Insecta	Myzaphis	turanica			Y	Y			?				T
Arthropoda	Insecta	Myzia	oblongoguttata		 Striped Ladybird	Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Myzocallis	boerneri			Y				?				T
Arthropoda	Insecta	Myzocallis	schreiberi			Y				?				T
Arthropoda	Insecta	Myzocallis	walshii				Y	Y			?	?		T
Arthropoda	Insecta	Myzus	ascalonicus			Y	Y	Y	Y	Y			N	T
Arthropoda	Insecta	Myzus	cymbalariae			Y	Y	Y		?				T
Arthropoda	Insecta	Myzus	hemerocallis  				Y				?			T
Arthropoda	Insecta	Myzus	ornatus			Y	Y	Y	Y	Y				T
Arthropoda	Insecta	Myzus	persicae			Y	Y	Y	Y	Y	?	Y	Y	T
Arthropoda	Insecta	Myzus	varians		 Large peach aphid	Y	Y	Y		?	?	?		T
Arthropoda	Malacostraca	Nagurus	cristatus			Y			Y	Y			Y	F
Angiospermae	Monocotyledoneae	Najas	graminea		Ricefield Waternymph	Y				N				F
Arthropoda	Insecta	Nala	lividipes  				Y				?			T
Arthropoda	Insecta	Napomyza	carotae		 A Leaf-ming Fly				Y				?	T
Arthropoda	Insecta	Napomyza	cichorii		 A Leaf-ming Fly			Y	Y			?	?	T
Chordata	Mammalia	Nasua	nasua		Coati	Y, Ex		Y		N		Y		T
Arthropoda	Insecta	Nathrius	brevipennis		 Plain shortwing beetle	Y		Y	Y	Y		Y	Y	T
Chordata	Reptilia	Natrix	tessellata		 Dice Snake	N	Y	Y		N	N	Y		T
Ascomycota	Dothideomycetes	Nattrassia	mangiferae   			Y				Y				T
Arthropoda	Insecta	Nauphoeta	cinerea  			Y				?				T
Arthropoda	Insecta	Nearctaphis	bakeri			Y	Y			?	N			T
Arthropoda	Insecta	Necrobia 	rufipes			Y			Y	Y			Y	T
Chordata	Aves	Nectarinia	senegalensis		 Scarlet-chested Sunbird	Y								T
Chordata	Aves	Nectarinia	venusta		 Variable Sunbird	Y								T
Ascomycota	Sordariomycetes	Nectria	auriger   				Y							T
Arthropoda	Insecta	Nemapogon	granella		 Corn Moth	Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Nemapogon	variatella		 Pale Corn Clothes Moth	Y	Y		Y	Y	N		Y	T
Arthropoda	Insecta	Nematus	spiraeae  			Y				?				T
Arthropoda	Insecta	Nematus	tibialis			Y	Y		Y	Y	?		Y	T
Cnidaria	Hydrozoa	Nemopsis	bachei				Y	Y	Y		Y	Y	Y	M
Chordata	Aves	Neochen	jubata		Orinoco Goose	Y				N				F+T
Arthropoda	Insecta	Neoclytus	acuminatus  				Y				?			T
Arthropoda	Insecta	Neoderelomus	piriformis				Y				?			T
Arthropoda	Insecta	Neodicyphus	rhododendri			Y				Y				T
Arthropoda	Insecta	Neodryinus	typhlocybae  				Y				?			T
Arthropoda	Maxillopoda	Neoergasilus	japonicus			Y	Y			Y	Y			F
Arthropoda	Insecta	Neoheegeria 	dalmatica						Y					T
Arthropoda	Insecta	Neohydatothrips	samayunkur  				Y				?			T
Arthropoda	Insecta	Neomyzus	circumflexus			Y	Y	Y	Y	?	?	?	?	T
Chordata	Aves	Neophron	percnopterus		 Egyptian Vulture	Y	Y	Y	Y			Y		T
Arthropoda	Insecta	Neopulvinaria	innumerabilis				Y				?			T
Arthropoda	Arachnida	Neoscona	nautica					Y				Y		T
Rhodophyta	not assigned	Neosiphonia	harveyi			Y	Y	Y	Y	Y	Y	Y		M
Arthropoda	Insecta	Neotoxoptera	formosana			Y	Y		Y	?				T
Arthropoda	Insecta	Neotoxoptera	oliveri				Y				?			T
Arthropoda	Insecta	Neotoxoptera	violae				Y				?			T
Arthropoda	Arachnida	Nephilengys	cruentata					Y				Y		T
Arthropoda	Insecta	Nephus	reunioni  				Y				?			T
Arthropoda	Insecta	Nepticulomima	sakuntala  			Y				?				T
Annelida	Polychaeta	Nereis	virens		sandworm	Y			Y	Y			Y	M
Arthropoda	Insecta	Nesothrips	propinquus						Y				?	T
Arthropoda	Arachnida	Nesticodes	rufipes					Y				Y		T
Chordata	Aves	Netta	peposaca		Rosy-billed Pochard	Y	Y	Y	Y	Y	?	Y	Y	F+T
Chordata	Aves	Netta	rufina		Red-crested Pochard	Y, nat	nat	nat	Y, nat	Y, nat	nat	nat	Y, nat	F+T
Arthropoda	Insecta	Nezara	viridula		 Southern Green Shield Bug	Y	Y	Y	Y	Y	N	Y	N	T
Arthropoda	Insecta	Niditinea	fuscella		 Brown-Dotted Clothes Moth	Y	Y		Y	Y	N		Y	T
Arthropoda	Arachnida	Nigma	walckenaeri			Y	Y	Y	Y	Y				T
Arthropoda	Insecta	Nipaecoccus	nipae			Y				?				T
Arthropoda	Insecta	Nipponorthezinella	guadalcanalia  			Y				?				T
Arthropoda	Insecta	Niptus 	hololeucus			Y			Y	Y				T
Dinoflagellata	Dinophyceae	Noctiluca	scintillans			Y	Y	Y	Y	Y	Y	Y	Y	M
Arthropoda	Insecta	Norellia	spinipes		 A Plant-feeding Dung Fly	Y			Y	Y			Y	T
Arthropoda	Insecta	Nosopsyllus	fasciatus			Y	Y	Y	Y					T
Arthropoda	Insecta	Nosopsyllus	londinensis  	londinensis		Y	Y	Y		?	?	?		T
Arthropoda	Diplopoda	Nothogeophilus	turki			Y								T
Arthropoda	Insecta	Novelsis	horni						Y				?	T
Arthropoda	Maxillopoda	Nucellicola	holmanae		parasitic copepod	Y				Y				M
Chordata	Aves	Numida	meleagris		 Helmeted Guinea fowl	Y		Y	Y	Y		Y	Y	T
Angiospermae	Magnoliidae	Nuphar	advena		Spatter-dock	Y				?				F
Chordata	Aves	Nycticorax	nycticorax		 Black-crowned Night Heron	Y	Y	Y	Y	Y	Y	Y	Y	T
Chordata	Aves	Nymphicus	hollandicus		 Cockatiel	Y	Y	Y	Y			Y	Y	T
Arthropoda	Insecta	Nymphula	crisonalis		Pale Asian China-mark	Y	N			Y	N			F+T
Arthropoda	Insecta	Nymphula	diminutalis		Small Brown China-mark	Y, Indoors	N			N	N			F+T
Arthropoda	Insecta	Nymphula	fluctuosalis		Waved China-mark	Y	N	N	N	Y	N			F+T
Arthropoda	Insecta	Nysius	huttoni		 Wheat Bug [ 	Y	Y	Y	Y	?	?	?	Y	T
Arthropoda	Insecta	Obolodiplosis	robiniae		 Locust gall midge	Y	Y		Y	Y	?		Y	T
Arthropoda	Insecta	Oceanaspidiotus	spinosus			Y	Y			?	?			T
Mollusca	Gastropoda	Ocenebra	erinacea		European sting winkle	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	M
Arthropoda	Insecta	Ochlerotatus	japonicus				Y	Y			?	Y		T
Mollusca	Gastropoda	Ocinebrellus	inornatus		Asian/Japanese oyster drill	N	Y		Y	N	Y		Y	M
Arthropoda	Insecta	Ocnerostoma	friesei		 Grey Pine Ermel	Y	Y		Y	Y	N		Y	T
Chordata	Amphibia	Xenopus	laevis		African Clawed Toad	Y	Y	Y	Y	N	N			F+T
Arthropoda	Insecta	Odonaspis	secreta				Y				?			T
Arthropoda	Arachnida	Oecobius	navus		 Urban wall spider	Y		Y	Y			Y		T
Chordata	Aves	Oena	capensis		 Namaqua Dove	Y		Y				Y		T
Angiospermae	Eudicotyledoneae	Oenothera	biennis		Common Evening-Primrose	Y	Y	Y	Y		Y	Y	Y	T
Arthropoda	Insecta	Oinophila	v-flava		 Yellow V Moth [ 	Y	N		Y	Y	N		Y	T
Arthropoda	Arachnida	Oligonychus	ilicis						Y					T
Arthropoda	Arachnida	Oligonychus	perditus					Y	Y					T
Arthropoda	Insecta	Oligosita	distincta  				Y				?			T
Arthropoda	Insecta	Oligostigma	polydectalis		Small Ringed China-mark	Y	N				N			F+T
Arthropoda	Insecta	Oligota	parva			Y	Y	Y	Y	Y		Y	Y	T
Arthropoda	Arachnida	Olios	sanctivincenti			Y								T
Heterokontophyta	Raphidophyceae	Olisthodiscus	luteus			Y				?				M
Arthropoda	Insecta	Ommatissus	binotatus  				Y				?			T
Arthropoda	Insecta	Omonadus	floralis			Y	Y		Y	Y			Y	T
Chordata	Actinopterygii	Oncorhynchus	clarki		Cutthroat trout	Y		N		Y		N		F
Chordata	Actinopterygii	Oncorhynchus	gorbuscha		Humpback Salmon	Y		N		Y		N		M+F
Chordata	Actinopterygii	Oncorhynchus	kisutch		Coho Salmon	Y	Y	Y	Y	N	Y	N	Y	M+F
Chordata	Actinopterygii	Oncorhynchus	mykiss		Rainbow Trout	Y	Y	Y	Y	Y	Y	Y	Y	F
Chordata	Actinopterygii	Oncorhynchus	tshawytscha		Chinook salmon	Y, N	Y	N	Y	Y, N	Y	N	Y	F
Chordata	Mammalia	Ondatra	zibethicus		Muskrat	Er	Y	Y	Y	N	Y	Y	Y	F+T
Pteridophyta	Polypodiopsida	Onoclea	sensibilis		 Sensitive Fern	Y	Y	Y		Y	N	Y		T
Arthropoda	Collembola	Onychiurus	folsomi  			Y				Y				T
Arthropoda	Insecta	Ooencyrtus	kuwanae  				Y				?			T
Arthropoda	Arachnida	Oonops	domesticus		 Pink Prowler	Y	Y	Y	Y	Y			N	T
Arthropoda	Arachnida	Oonops	pulcher			Y		Y	Y					T
Mollusca	Gastropoda	Opeas	pumilum		Dwarf Awlsnail		Y		Y		Y		Y	T
Arthropoda	Insecta	Opetiopalpus	scutellaris  				Y				?			T
Arthropoda	Insecta	Ophelimus	maskelli  			Y	Y			?	?			T
Arthropoda	Arachnida	Opilio	parietinus					Y	Y			N	N	T
Arthropoda	Insecta	Opius 	dimidiatus						Y					T
Arthropoda	Insecta	Opogona	sacchari		 Cane borer	Y, Er	Y, Er	Y	Y	N	N	N	N	T
Arthropoda	Insecta	Opsius	stactogalus			Y		Y	Y	Y		Y	?	T
Arthropoda	Insecta	Opuntaspis	philococcus				Y				?			T
Arthropoda	Malacostraca	Orchestia	cavimana			Y	Y	Y	Y	Y	Y	Y	Y	M+F
Arthropoda	Insecta	Orchopeas	howardi  			Y				?				T
Arthropoda	Malacostraca	Orconectes	limosus		Spinycheek Crayfish	Y	Y	Y	Y	Y	Y	Y	Y	F
Arthropoda	Malacostraca	Orconectes	virilis		Virile Crayfish	Y	Y		Y	Y	Y		Y	F
Chordata	Actinopterygii	Oreochromis	niloticus		Nile tilapia	Y	Y	Y	Y	?	?	N	?	F
Chordata	Aves	Oreortyx	pictus		 Mountain Quail	Y								T
Arthropoda	Insecta	Orientus	ishidae  	auchenorrhyncha			Y				?			T
Chordata	Aves	Oriolus	chinensis		 Black-naped Oriole	Y				Y				T
Arthropoda	Insecta	Orius	laevigatus			Y	Y	Y	Y	Y	N	Y	N	T
Arthropoda	Insecta	Orphinus	fulvipes			Y	Y							T
Arthropoda	Insecta	Orseolia	cynodontis  				Y				?			T
Arthropoda	Insecta	Orsillus	depressus			Y	Y	Y	Y	Y	N	Y	Y	T
Bryophyta	Bryopsida	Orthodontium	lineare			Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Orthoperus	aequalis  			Y	Y			Y	?			T
Arthropoda	Insecta	Orthoperus 	atomarius			Y			Y	N				T
Chordata	Aves	Orthopsittaca	manilata		 Red-bellied Macaw	Y								T
Arthropoda	Insecta	Orthotylus	caprai			Y				?				T
Chordata	Mammalia	Oryctolagus	cuniculus		Rabbit	Y	Y	Y	Y	Y	Y	Y	Y	T
